budget,genre,director_popularity,actor_1_popularity,actor_2_popularity,runtime,release_month,critic_score,marketing_budget,franchise,revenue
56439840.54472549,Comedy,8.035501232158932,6.646810355528548,1.9820773782913355,101.07255368761342,9.0,71.33396662256112,2996165.683590723,1.0,277665954.08388644
205844633.1044349,Action,6.613897213344719,3.455736751640957,7.998456045878241,165.25226764101868,12.0,20.190102286496305,1684364.7026447868,0.0,683856188.7405226
110540646.39266194,Comedy,5.971847876069538,4.251574462112781,,147.33704349369248,7.0,88.7170361832733,3789570.0470044953,1.0,724982032.1139357
132537507.01916002,Sci-Fi,5.634020047283244,7.565618907029621,8.357837100572961,120.55248981425804,3.0,34.7065729044969,4497233.852245037,0.0,468521496.63381964
155231095.18579802,Drama,7.32320929072569,1.5219142486163764,8.326147888310288,91.6457510388196,7.0,26.79315885945804,1176841.272399563,0.0,219731893.689248
147736775.53361243,Action,3.4837097004461315,10.45444395360204,9.208329416719657,120.4307359932609,1.0,79.52322686589035,2786752.8757605674,0.0,
31008821.027575992,Comedy,11.501069227784999,9.564857365632902,5.640965294825785,165.26955533190437,3.0,72.42605655637568,2860469.5683115213,0.0,751120072.4815055
148625783.32400855,Action,11.3098650015371,6.022555741211115,3.0962768822921216,184.50728940894413,,112.68575433456456,3068223.7936961767,0.0,736877221.0647641
162561561.48026627,Action,6.659592323860403,,,123.81046678580755,4.0,35.02177185646905,2782540.645107893,1.0,511645083.9202372
104718579.40177056,Drama,3.1399720754843514,9.798983559506713,7.951416484050144,131.81610892274472,7.0,54.47279786490156,3741546.324690433,1.0,340277179.6395342
91443630.64034972,Sci-Fi,6.446204836339792,2.905918138585371,7.347693473615922,151.82285790789243,3.0,8.943027099496797,1545499.8106523738,0.0,464735717.2762855
124765950.7266495,Action,1.5001661431521602,1.5202686120167255,5.259155503939158,137.00470896186664,1.0,60.520610803222425,622406.0801361826,0.0,112394659.16600335
76556028.33973907,,0.9759843167033223,,2.034055285450762,89.54505194734723,9.0,59.351353417679334,160679.57363099224,1.0,498777800.37006897
98831842.54880714,,3.8743953761181724,8.961889265796284,4.521885153919591,156.1693369486708,6.0,18.025805559916368,1704810.9935980057,1.0,179967846.58798322
102163196.36320794,Action,,1.2120869717601763,9.856433022716898,101.89314564922931,8.0,41.18719606080674,427109.1588596475,0.0,855292848.4514352
85940963.9509192,Action,8.702921006671229,6.058093490840598,6.972293024991902,161.56344944537406,3.0,38.65769650830922,3329215.9192930404,0.0,902427087.8626877
